"lang"
{
"Language"	"vietnamese"
"[english]announcer_ann_custom_mode_05"	"Custom Game."
"announcer_ann_custom_mode_06"	"Loạn chiến."
"[english]announcer_ann_custom_mode_06"	"Free for All."
"announcer_ann_custom_mode_07"	"Các đội."
"[english]announcer_ann_custom_mode_07"	"Teams."
"announcer_ann_custom_mode_08"	"Phòng thủ."
"[english]announcer_ann_custom_mode_08"	"Defense."
"announcer_ann_custom_mode_09"	"Tấn công."
"[english]announcer_ann_custom_mode_09"	"Offense."
"announcer_ann_custom_mode_10"	"Ngục tối."
"[english]announcer_ann_custom_mode_10"	"Dungeon."
"announcer_ann_custom_mode_11"	"Phiêu lưu."
"[english]announcer_ann_custom_mode_11"	"Adventure."
"announcer_ann_custom_mode_12"	"Giải đố."
"[english]announcer_ann_custom_mode_12"	"Puzzle."
"announcer_ann_custom_mode_13"	"Giao tranh cận chiến."
"[english]announcer_ann_custom_mode_13"	"Melee Battle."
"announcer_ann_custom_mode_14"	"Giao tranh tầm xa."
"[english]announcer_ann_custom_mode_14"	"Ranged Battle."
"announcer_ann_custom_mode_15"	"Giao tranh tướng."
"[english]announcer_ann_custom_mode_15"	"Hero Battle."
"announcer_ann_custom_mode_16"	"Bắt giữ."
"[english]announcer_ann_custom_mode_16"	"Capture."
"announcer_ann_custom_mode_17"	"Giao tranh."
"[english]announcer_ann_custom_mode_17"	"Battle."
"announcer_ann_custom_mode_18"	"Chiến thuật."
"[english]announcer_ann_custom_mode_18"	"Tactics."
"announcer_ann_custom_mode_19"	"Trước khi chọn."
"[english]announcer_ann_custom_mode_19"	"Pre Pick."
"announcer_ann_custom_mode_20"	"Đấu tay đôi."
"[english]announcer_ann_custom_mode_20"	"Duel."
"announcer_ann_custom_mode_21"	"Chiến tranh."
"[english]announcer_ann_custom_mode_21"	"War."
"announcer_ann_custom_mode_22"	"Rượt đuổi."
"[english]announcer_ann_custom_mode_22"	"Pursuit."
"announcer_ann_custom_mode_23"	"Khám phá."
"[english]announcer_ann_custom_mode_23"	"Explore."
"announcer_ann_custom_mode_24"	"Huấn luyện."
"[english]announcer_ann_custom_mode_24"	"Training."
"announcer_ann_custom_mode_25"	"Đua."
"[english]announcer_ann_custom_mode_25"	"Race."
"announcer_ann_custom_mode_26"	"Trò chơi bóng."
"[english]announcer_ann_custom_mode_26"	"Ballgame."
"announcer_ann_custom_vote_call"	"Đã yêu cầu một biểu quyết."
"[english]announcer_ann_custom_vote_call"	"A vote has been called."
"announcer_ann_custom_vote_begun"	"Bắt đầu bỏ phiếu."
"[english]announcer_ann_custom_vote_begun"	"A vote has begun."
"announcer_ann_custom_vote_complete"	"Bỏ phiếu kết thúc."
"[english]announcer_ann_custom_vote_complete"	"A vote has completed."
"announcer_ann_custom_begin"	"Bắt đầu!"
"[english]announcer_ann_custom_begin"	"Begin!"
"announcer_ann_custom_overtime"	"Quá giờ."
"[english]announcer_ann_custom_overtime"	"Overtime."
"announcer_ann_custom_sudden_death"	"Chết bất ngờ"
"[english]announcer_ann_custom_sudden_death"	"Sudden Death."
"announcer_ann_custom_add_time_01"	"Thời gian đã được thêm."
"[english]announcer_ann_custom_add_time_01"	"Time has been added."
"announcer_ann_custom_add_time_02"	"Đối phương đã được nhận thêm thời gian."
"[english]announcer_ann_custom_add_time_02"	"The enemy has received additional time."
"announcer_ann_custom_add_time_03"	"Một kẻ địch đã được nhận thêm thời gian."
"[english]announcer_ann_custom_add_time_03"	"An enemy has received additional time."
"announcer_ann_custom_add_time_04"	"Bạn đã được nhận thêm thời gian."
"[english]announcer_ann_custom_add_time_04"	"You have received additional time."
"announcer_ann_custom_time_expired"	"Hết thời gian."
"[english]announcer_ann_custom_time_expired"	"Time expired."
"announcer_ann_custom_timer_02"	"Còn hai phút."
"[english]announcer_ann_custom_timer_02"	"Two minutes remaining."
"announcer_ann_custom_timer_03"	"Còn ba phút."
"[english]announcer_ann_custom_timer_03"	"Three minutes remaining."
"announcer_ann_custom_timer_04"	"Còn bốn phút."
"[english]announcer_ann_custom_timer_04"	"Four minutes remaining."
"announcer_ann_custom_timer_05"	"Còn năm phút."
"[english]announcer_ann_custom_timer_05"	"Five minutes remaining."
"announcer_ann_custom_timer_10"	"Còn mười phút."
"[english]announcer_ann_custom_timer_10"	"Ten minutes remaining."
"announcer_ann_custom_timer_15"	"Còn mười lăm phút."
"[english]announcer_ann_custom_timer_15"	"Fifteen minutes remaining."
"announcer_ann_custom_timer_sec_05"	"Còn năm giây."
"[english]announcer_ann_custom_timer_sec_05"	"Five seconds remaining."
"announcer_ann_custom_timer_sec_10"	"Còn mười giây."
"[english]announcer_ann_custom_timer_sec_10"	"Ten seconds remaining."
"announcer_ann_custom_timer_sec_15"	"Còn mười lăm giây."
"[english]announcer_ann_custom_timer_sec_15"	"Fifteen seconds remaining."
"announcer_ann_custom_timer_sec_30"	"Còn ba mươi giây."
"[english]announcer_ann_custom_timer_sec_30"	"Thirty seconds remaining."
"announcer_ann_custom_end_01"	"Chiến thắng!"
"[english]announcer_ann_custom_end_01"	"Victory!"
"announcer_ann_custom_end_02"	"Bạn đã chiến thắng!"
"[english]announcer_ann_custom_end_02"	"You are victorious!"
"announcer_ann_custom_end_03"	"Thất bại!"
"[english]announcer_ann_custom_end_03"	"Defeated!"
"announcer_ann_custom_end_04"	"Bạn đã bị đánh bại."
"[english]announcer_ann_custom_end_04"	"You were defeated."
"announcer_ann_custom_end_05"	"Bạn đã thất bại."
"[english]announcer_ann_custom_end_05"	"You have failed."
"announcer_ann_custom_end_06"	"Thế hòa."
"[english]announcer_ann_custom_end_06"	"Stalemate."
"announcer_ann_custom_end_07"	"Hòa."
"[english]announcer_ann_custom_end_07"	"Tie."
"announcer_ann_custom_end_08"	"Trận đấu kết thúc."
"[english]announcer_ann_custom_end_08"	"Game over."
"announcer_ann_custom_end_09"	"Bạn đã chết."
"[english]announcer_ann_custom_end_09"	"You died."
"announcer_ann_custom_end_10"	"Chúc mừng!"
"[english]announcer_ann_custom_end_10"	"Congratulations!"
"announcer_ann_custom_end_11"	"Tiếp tục?"
"[english]announcer_ann_custom_end_11"	"Continue?"
"announcer_ann_custom_bad_01"	"Tệ!"
"[english]announcer_ann_custom_bad_01"	"Bad!"
"announcer_ann_custom_countdown_01"	"Một."
"[english]announcer_ann_custom_countdown_01"	"One."
"announcer_ann_custom_countdown_02"	"Hai."
"[english]announcer_ann_custom_countdown_02"	"Two."
"announcer_ann_custom_countdown_03"	"Ba."
"[english]announcer_ann_custom_countdown_03"	"Three."
"announcer_ann_custom_countdown_04"	"Bốn."
"[english]announcer_ann_custom_countdown_04"	"Four."
"announcer_ann_custom_countdown_05"	"Năm."
"[english]announcer_ann_custom_countdown_05"	"Five."
"announcer_ann_custom_countdown_06"	"Sáu."
"[english]announcer_ann_custom_countdown_06"	"Six."
"announcer_ann_custom_countdown_07"	"Bảy."
"[english]announcer_ann_custom_countdown_07"	"Seven."
"announcer_ann_custom_countdown_08"	"Tám."
"[english]announcer_ann_custom_countdown_08"	"Eight."
"announcer_ann_custom_countdown_09"	"Chín."
"[english]announcer_ann_custom_countdown_09"	"Nine."
"announcer_ann_custom_countdown_10"	"Mười."
"[english]announcer_ann_custom_countdown_10"	"Ten."
"announcer_ann_custom_round_01"	"Vòng 1."
"[english]announcer_ann_custom_round_01"	"Round 1."
"announcer_ann_custom_round_02"	"Vòng 2."
"[english]announcer_ann_custom_round_02"	"Round 2."
"announcer_ann_custom_round_03"	"Vòng 3."
"[english]announcer_ann_custom_round_03"	"Round 3."
"announcer_ann_custom_round_04"	"Vòng 4."
"[english]announcer_ann_custom_round_04"	"Round 4."
"announcer_ann_custom_round_05"	"Vòng 5."
"[english]announcer_ann_custom_round_05"	"Round 5."
"announcer_ann_custom_round_06"	"Vòng 6."
"[english]announcer_ann_custom_round_06"	"Round 6."
"announcer_ann_custom_round_07"	"Vòng 7."
"[english]announcer_ann_custom_round_07"	"Round 7."
"announcer_ann_custom_round_08"	"Vòng 8."
"[english]announcer_ann_custom_round_08"	"Round 8."
"announcer_ann_custom_round_09"	"Vòng 9."
"[english]announcer_ann_custom_round_09"	"Round 9."
"announcer_ann_custom_round_10"	"Vòng 10."
"[english]announcer_ann_custom_round_10"	"Round 10."
"announcer_ann_custom_round_final"	"Vòng cuối."
"[english]announcer_ann_custom_round_final"	"Final round."
"announcer_ann_custom_round_begin_01"	"Vòng tiếp theo sẽ bắt đầu ngay đây."
"[english]announcer_ann_custom_round_begin_01"	"The next round will begin soon."
"announcer_ann_custom_round_begin_02"	"Hãy chuẩn bị tinh thần. Vòng tiếp theo sẽ bắt đầu ngay đây."
"[english]announcer_ann_custom_round_begin_02"	"Prepare yourselves. The next round will begin soon."
"announcer_ann_custom_round_complete"	"Kết thúc vòng đấu."
"[english]announcer_ann_custom_round_complete"	"Round complete."
"announcer_ann_custom_team_alerts_01"	"Bạn hiện đang dẫn đầu."
"[english]announcer_ann_custom_team_alerts_01"	"You have taken the lead."
"announcer_ann_custom_team_alerts_02"	"Đội của bạn hiện đang dẫn đầu."
"[english]announcer_ann_custom_team_alerts_02"	"Your team has taken the lead."
"announcer_ann_custom_team_alerts_03"	"Bạn hiện không còn dẫn đầu."
"[english]announcer_ann_custom_team_alerts_03"	"You have lost the lead."
"announcer_ann_custom_team_alerts_04"	"Đội của bạn hiện đang không còn dẫn đầu."
"[english]announcer_ann_custom_team_alerts_04"	"Your team has lost the lead."
"announcer_ann_custom_team_alerts_05"	"Chiếm giữ tất cả các điểm để chiến thắng."
"[english]announcer_ann_custom_team_alerts_05"	"Capture all points to win the match."
"announcer_ann_custom_team_alerts_06"	"Điểm này đã bị khóa."
"[english]announcer_ann_custom_team_alerts_06"	"This point is locked."
"announcer_ann_custom_team_alerts_07"	"Tất cả điểm đã khóa."
"[english]announcer_ann_custom_team_alerts_07"	"All points are locked."
"announcer_ann_custom_team_alerts_08"	"Tất cả điểm đã mở khóa."
"[english]announcer_ann_custom_team_alerts_08"	"All points are unlocked."
"announcer_ann_custom_team_alerts_09"	"Điểm của bạn đang bị tranh chấp."
"[english]announcer_ann_custom_team_alerts_09"	"Your point is being contested."
"announcer_ann_custom_team_alerts_10"	"Một trong các điểm của bạn đang bị tranh chấp."
"[english]announcer_ann_custom_team_alerts_10"	"One of your points is being contested."
"announcer_ann_custom_new_item_01"	"Có trang bị mới."
"[english]announcer_ann_custom_new_item_01"	"New item available."
"announcer_ann_custom_new_message_01"	"Tin nhắn mới."
"[english]announcer_ann_custom_new_message_01"	"New message."
"announcer_ann_custom_new_shop_01"	"Một cửa hàng mới đã mở."
"[english]announcer_ann_custom_new_shop_01"	"A new shop has opened."
"announcer_ann_custom_draft_01"	"Bắt đầu lựa chọn."
"[english]announcer_ann_custom_draft_01"	"Draft begins."
"announcer_ann_custom_draft_02"	"Bạn đã được chọn."
"[english]announcer_ann_custom_draft_02"	"You have been chosen."
"announcer_ann_custom_draft_03"	"Chọn vị trí của bạn."
"[english]announcer_ann_custom_draft_03"	"Select your position."
"announcer_ann_custom_adventure_alerts_01"	"Lên cấp."
"[english]announcer_ann_custom_adventure_alerts_01"	"Level up."
"announcer_ann_custom_adventure_alerts_02"	"Đội đối phương đã tăng một cấp."
"[english]announcer_ann_custom_adventure_alerts_02"	"The enemy team has gained a level."
"announcer_ann_custom_adventure_alerts_03"	"Một kẻ địch đã tăng một cấp."
"[english]announcer_ann_custom_adventure_alerts_03"	"An enemy has gained a level."
"announcer_ann_custom_adventure_alerts_04"	"Đối phương đã tăng một cấp."
"[english]announcer_ann_custom_adventure_alerts_04"	"The enemy has gained a level."
"announcer_ann_custom_adventure_alerts_05"	"Thăng cấp."
"[english]announcer_ann_custom_adventure_alerts_05"	"Ascended."
"announcer_ann_custom_adventure_alerts_06"	"Bạn đã thăng cấp."
"[english]announcer_ann_custom_adventure_alerts_06"	"You have ascended."
"announcer_ann_custom_adventure_alerts_07"	"Đội bạn đã thăng cấp."
"[english]announcer_ann_custom_adventure_alerts_07"	"Your team has ascended."
"announcer_ann_custom_adventure_alerts_08"	"Đội đối phương đã thăng cấp."
"[english]announcer_ann_custom_adventure_alerts_08"	"The enemy team has ascended."
"announcer_ann_custom_adventure_alerts_09"	"Bạn có một nhiệm vụ mới."
"[english]announcer_ann_custom_adventure_alerts_09"	"You have a new quest."
"announcer_ann_custom_adventure_alerts_10"	"Nhiệm vụ đã cập nhật."
"[english]announcer_ann_custom_adventure_alerts_10"	"Quest updated."
"announcer_ann_custom_adventure_alerts_11"	"Nhiệm vụ hoàn thành."
"[english]announcer_ann_custom_adventure_alerts_11"	"Quest complete."
"announcer_ann_custom_adventure_alerts_12"	"Đối phương đã hoàn thành một nhiệm vụ."
"[english]announcer_ann_custom_adventure_alerts_12"	"The enemy has completed a quest."
"announcer_ann_custom_adventure_alerts_13"	"Đối phương đã có tiến triển."
"[english]announcer_ann_custom_adventure_alerts_13"	"The enemy has progressed."
"announcer_ann_custom_adventure_alerts_14"	"Đối phương đã chiếm một mục tiêu."
"[english]announcer_ann_custom_adventure_alerts_14"	"The enemy has taken an objective."
"announcer_ann_custom_adventure_alerts_15"	"Bạn phải thành lập nhóm trước khi tiếp tục phiêu lưu."
"[english]announcer_ann_custom_adventure_alerts_15"	"You must gather your party before venturing forth."
"announcer_ann_custom_adventure_alerts_16"	"Tập trung nhóm của bạn lại."
"[english]announcer_ann_custom_adventure_alerts_16"	"Gather your party."
"announcer_ann_custom_adventure_alerts_17"	"Một kẻ phản bội tấn công."
"[english]announcer_ann_custom_adventure_alerts_17"	"A traitor attacks."
"announcer_ann_custom_adventure_alerts_18"	"Bạn đã phát hiện kẻ phản bội."
"[english]announcer_ann_custom_adventure_alerts_18"	"You have revealed a traitor."
"announcer_ann_custom_adventure_alerts_19"	"Bạn đã tiêu diệt kẻ phản bội."
"[english]announcer_ann_custom_adventure_alerts_19"	"You have slain a traitor."
"announcer_ann_custom_adventure_alerts_20"	"Bạn đã bị thâm nhập."
"[english]announcer_ann_custom_adventure_alerts_20"	"You have been infiltrated."
"announcer_ann_custom_adventure_alerts_21"	"Đặc vụ của bạn đã thâm nhập đối phương."
"[english]announcer_ann_custom_adventure_alerts_21"	"Your agent has infiltrated the enemy."
"announcer_ann_custom_adventure_alerts_22"	"Đặc vụ của bạn đã thâm nhập một kẻ địch."
"[english]announcer_ann_custom_adventure_alerts_22"	"Your agent has infiltrated an enemy."
"announcer_ann_custom_adventure_alerts_23"	"Đặc vụ của bạn tấn công."
"[english]announcer_ann_custom_adventure_alerts_23"	"Your agent attacks."
"announcer_ann_custom_adventure_alerts_24"	"Đặc vụ của bạn đã bị phát hiện."
"[english]announcer_ann_custom_adventure_alerts_24"	"Your agent has been revealed."
"announcer_ann_custom_adventure_alerts_25"	"Đặc vụ của bạn đã bị giết."
"[english]announcer_ann_custom_adventure_alerts_25"	"Your agent has been slain."
"announcer_ann_custom_adventure_alerts_26"	"Đối phương đã phát hiện kẻ phản bội."
"[english]announcer_ann_custom_adventure_alerts_26"	"The enemy has revealed a traitor."
"announcer_ann_custom_adventure_alerts_27"	"Đối phương đã tiêu diệt kẻ phản bội."
"[english]announcer_ann_custom_adventure_alerts_27"	"The enemy has slain a traitor."
"announcer_ann_custom_adventure_alerts_28"	"Kẻ phản bội tấn công một kẻ địch."
"[english]announcer_ann_custom_adventure_alerts_28"	"A traitor attacks an enemy."
"announcer_ann_custom_adventure_alerts_29"	"Kẻ phản bội tấn công kẻ địch."
"[english]announcer_ann_custom_adventure_alerts_29"	"A traitor attacks the enemy."
"announcer_ann_custom_adventure_alerts_30"	"Một lính đánh thuê gia nhập cùng bạn."
"[english]announcer_ann_custom_adventure_alerts_30"	"A mercenary joins your cause."
"announcer_ann_custom_adventure_alerts_31"	"Bạn đã chiêu mộ một lính đánh thuê."
"[english]announcer_ann_custom_adventure_alerts_31"	"You have recruited a mercenary."
"announcer_ann_custom_adventure_alerts_32"	"Đối phương đã chiêu mộ một lính đánh thuê."
"[english]announcer_ann_custom_adventure_alerts_32"	"The enemy has recruited a mercenary."
"announcer_ann_custom_adventure_alerts_33"	"Một kẻ địch đã chiêu mộ một lính đánh thuê."
"[english]announcer_ann_custom_adventure_alerts_33"	"An enemy has recruited a mercenary."
"announcer_ann_custom_adventure_alerts_34"	"Quý tộc của bạn đang gặp nguy hiểm."
"[english]announcer_ann_custom_adventure_alerts_34"	"Your noble is in danger."
"announcer_ann_custom_adventure_alerts_35"	"Quý tộc của bạn đang an toàn."
"[english]announcer_ann_custom_adventure_alerts_35"	"Your noble is safe."
"announcer_ann_custom_adventure_alerts_36"	"Quý tộc của bạn đã bị ám sát."
"[english]announcer_ann_custom_adventure_alerts_36"	"Your noble has been assassinated."
"announcer_ann_custom_adventure_alerts_37"	"Quý tộc của đối phương đã bị ám sát."
"[english]announcer_ann_custom_adventure_alerts_37"	"The enemy noble has been assassinated."
"announcer_ann_custom_adventure_alerts_38"	"Quý tộc của một kẻ địch đã bị ám sát."
"[english]announcer_ann_custom_adventure_alerts_38"	"An enemy noble has been assassinated."
"announcer_ann_custom_adventure_alerts_39"	"Quý tộc của đối phương đang an toàn."
"[english]announcer_ann_custom_adventure_alerts_39"	"The enemy noble is safe."
"announcer_ann_custom_adventure_alerts_40"	"Quý tộc của một kẻ địch đang an toàn."
"[english]announcer_ann_custom_adventure_alerts_40"	"An enemy noble is safe."
"announcer_ann_custom_adventure_alerts_41"	"Phản bội!"
"[english]announcer_ann_custom_adventure_alerts_41"	"Betrayal!"
"announcer_ann_custom_adventure_alerts_42"	"Đánh!"
"[english]announcer_ann_custom_adventure_alerts_42"	"Fight!"
"announcer_ann_custom_adventure_alerts_43"	"Trở về thị trấn."
"[english]announcer_ann_custom_adventure_alerts_43"	"Return to town."
"announcer_ann_custom_adventure_alerts_44"	"Thị trấn đang bị tấn công."
"[english]announcer_ann_custom_adventure_alerts_44"	"Town is under attack."
"announcer_ann_custom_adventure_alerts_45"	"Đã phát hiện một kho báu."
"[english]announcer_ann_custom_adventure_alerts_45"	"A treasure has appeared."
"announcer_ann_custom_adventure_alerts_46"	"Đã phát hiện một vũ khí."
"[english]announcer_ann_custom_adventure_alerts_46"	"A weapon has appeared."
"announcer_ann_custom_adventure_alerts_47"	"Đã phát hiện một kẻ địch."
"[english]announcer_ann_custom_adventure_alerts_47"	"An enemy has appeared."
"announcer_ann_custom_adventure_alerts_48"	"Đã phát hiện một quái vật."
"[english]announcer_ann_custom_adventure_alerts_48"	"A monster has appeared."
"announcer_ann_custom_turns_01"	"Lượt của bạn."
"[english]announcer_ann_custom_turns_01"	"Your turn."
"announcer_ann_custom_turns_02"	"Tiếp theo là lượt của bạn."
"[english]announcer_ann_custom_turns_02"	"Your turn is next."
"announcer_ann_custom_turns_03"	"Tiếp theo là lượt của đội bạn."
"[english]announcer_ann_custom_turns_03"	"Your team is next."
"announcer_ann_custom_turns_04"	"Kết thúc lượt."
"[english]announcer_ann_custom_turns_04"	"Turn ended."
"announcer_ann_custom_turns_05"	"Còn một nước đi."
"[english]announcer_ann_custom_turns_05"	"One move remaining."
"announcer_ann_custom_turns_06"	"Hết nước đi."
"[english]announcer_ann_custom_turns_06"	"Out of moves."
"announcer_ann_custom_turns_07"	"Lượt đối phương."
"[english]announcer_ann_custom_turns_07"	"Enemy turn."
"announcer_ann_custom_turns_08"	"Bạn sẽ chọn tiếp theo."
"[english]announcer_ann_custom_turns_08"	"You will pick next."
"announcer_ann_custom_ctf_01"	"Đối phương đã lấy được cờ hiệu."
"[english]announcer_ann_custom_ctf_01"	"The enemy has taken the banner."
"announcer_ann_custom_ctf_02"	"Đội bạn đã có cờ hiệu."
"[english]announcer_ann_custom_ctf_02"	"Your team has the banner."
"announcer_ann_custom_ctf_03"	"Bạn đã lấy được cờ hiệu."
"[english]announcer_ann_custom_ctf_03"	"You have taken the banner."
"announcer_ann_custom_ctf_04"	"Bạn đã có cờ hiệu."
"[english]announcer_ann_custom_ctf_04"	"You have the banner."
"announcer_ann_custom_ctf_05"	"Đội bạn đã chiếm giữ cờ hiệu."
"[english]announcer_ann_custom_ctf_05"	"Your team has captured the banner."
"announcer_ann_custom_ctf_06"	"Đội bạn đã ghi điểm."
"[english]announcer_ann_custom_ctf_06"	"Your team has scored."
"announcer_ann_custom_ctf_07"	"Đội địch đã ghi điểm."
"[english]announcer_ann_custom_ctf_07"	"The enemy team has scored."
"announcer_ann_custom_ctf_08"	"Đối phương đã chiếm giữ cờ hiệu."
"[english]announcer_ann_custom_ctf_08"	"The enemy team has captured the banner."
"announcer_ann_custom_ctf_09"	"Đối phương đã chiếm giữ cờ."
"[english]announcer_ann_custom_ctf_09"	"The enemy team has captured the flag."
"announcer_ann_custom_ctf_10"	"Đối phương đã lấy được cờ."
"[english]announcer_ann_custom_ctf_10"	"The enemy has taken the flag."
"announcer_ann_custom_ctf_11"	"Đội bạn đã có cờ."
"[english]announcer_ann_custom_ctf_11"	"Your team has the flag."
"announcer_ann_custom_ctf_12"	"Bạn đã lấy được cờ."
"[english]announcer_ann_custom_ctf_12"	"You have taken the flag."
"announcer_ann_custom_ctf_13"	"Bạn đã có cờ."
"[english]announcer_ann_custom_ctf_13"	"You have the flag."
"announcer_ann_custom_ctf_14"	"Đội bạn đã chiếm giữ cờ."
"[english]announcer_ann_custom_ctf_14"	"Your team has captured the flag."
"announcer_ann_custom_ctf_15"	"Một đồng minh đã lấy được cờ hiệu."
"[english]announcer_ann_custom_ctf_15"	"An ally has taken the banner."
"announcer_ann_custom_ctf_16"	"Một đồng minh đã lấy được cờ."
"[english]announcer_ann_custom_ctf_16"	"An ally has taken the flag."
"announcer_ann_custom_ctf_17"	"Một đồng minh đã chiếm giữ cờ."
"[english]announcer_ann_custom_ctf_17"	"An ally has captured the flag."
"announcer_ann_custom_ctf_18"	"Một đồng minh đã chiếm được băng rôn."
"[english]announcer_ann_custom_ctf_18"	"An ally has captured the banner."
"announcer_ann_custom_generic_alert_01"	"Căn cứ của bạn đang bị tấn công."
"[english]announcer_ann_custom_generic_alert_01"	"Your base is under attack."
"announcer_ann_custom_generic_alert_02"	"Một đồng minh đang bị tấn công."
"[english]announcer_ann_custom_generic_alert_02"	"An ally is under attack."
"announcer_ann_custom_generic_alert_03"	"Lực lượng của bạn đang bị tấn công."
"[english]announcer_ann_custom_generic_alert_03"	"Your forces are under attack."
"announcer_ann_custom_generic_alert_04"	"Lực lượng của bạn đã bị tiêu diệt."
"[english]announcer_ann_custom_generic_alert_04"	"Your forces have been destroyed."
"announcer_ann_custom_generic_alert_05"	"Không đủ tài nguyên."
"[english]announcer_ann_custom_generic_alert_05"	"Not enough resources."
"announcer_ann_custom_generic_alert_06"	"Thiếu vốn."
"[english]announcer_ann_custom_generic_alert_06"	"Insufficient funds."
"announcer_ann_custom_generic_alert_07"	"Chưa sẵn sàng."
"[english]announcer_ann_custom_generic_alert_07"	"Not ready."
"announcer_ann_custom_generic_alert_08"	"Hoàn thành nâng cấp."
"[english]announcer_ann_custom_generic_alert_08"	"Upgrade complete."
"announcer_ann_custom_generic_alert_09"	"Nghiên cứu hoàn thành."
"[english]announcer_ann_custom_generic_alert_09"	"Research complete."
"announcer_ann_custom_generic_alert_10"	"Công trình hoàn thành."
"[english]announcer_ann_custom_generic_alert_10"	"Construction complete."
"announcer_ann_custom_generic_alert_11"	"Viện trợ đã đến."
"[english]announcer_ann_custom_generic_alert_11"	"Reinforcements have arrived."
"announcer_ann_custom_generic_alert_12"	"Công trình."
"[english]announcer_ann_custom_generic_alert_12"	"Building."
"announcer_ann_custom_generic_alert_13"	"Tạm dừng."
"[english]announcer_ann_custom_generic_alert_13"	"Paused."
"announcer_ann_custom_generic_alert_14"	"Đang chờ."
"[english]announcer_ann_custom_generic_alert_14"	"On hold."
"announcer_ann_custom_generic_alert_15"	"Đã hủy."
"[english]announcer_ann_custom_generic_alert_15"	"Cancelled."
"announcer_ann_custom_generic_alert_16"	"Nhiệm vụ hoàn thành."
"[english]announcer_ann_custom_generic_alert_16"	"Mission accomplished."
"announcer_ann_custom_generic_alert_17"	"Nhiệm vụ thất bại."
"[english]announcer_ann_custom_generic_alert_17"	"Mission failed."
"announcer_ann_custom_generic_alert_18"	"Đội đối phương đã bị tiêu diệt."
"[english]announcer_ann_custom_generic_alert_18"	"Enemy team destroyed."
"announcer_ann_custom_generic_alert_19"	"Đội đồng minh đã bị tiêu diệt."
"[english]announcer_ann_custom_generic_alert_19"	"Allied team destroyed."
"announcer_ann_custom_generic_alert_20"	"Đã thưởng vàng."
"[english]announcer_ann_custom_generic_alert_20"	"Gold awarded."
"announcer_ann_custom_generic_alert_21"	"Phòng thủ."
"[english]announcer_ann_custom_generic_alert_21"	"Defend."
"announcer_ann_custom_generic_alert_22"	"Tấn công."
"[english]announcer_ann_custom_generic_alert_22"	"Attack."
"announcer_ann_custom_generic_alert_23"	"Điểm tập kết."
"[english]announcer_ann_custom_generic_alert_23"	"Waypoint."
"announcer_ann_custom_generic_alert_24"	"Rút lui."
"[english]announcer_ann_custom_generic_alert_24"	"Retreat."
"announcer_ann_custom_generic_alert_25"	"Không đủ vàng."
"[english]announcer_ann_custom_generic_alert_25"	"Insufficient gold."
"announcer_ann_custom_generic_alert_26"	"Đối phương đã được thưởng vàng."
"[english]announcer_ann_custom_generic_alert_26"	"Gold has been awarded to the enemy."
"announcer_ann_custom_generic_alert_27"	"Một kẻ địch đã được thưởng vàng."
"[english]announcer_ann_custom_generic_alert_27"	"Gold has been awarded to an enemy."
"announcer_ann_custom_generic_alert_28"	"Mục tiêu đang ở gần điểm tập kết."
"[english]announcer_ann_custom_generic_alert_28"	"The objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_29"	"Mục tiêu đang ở gần điểm đến của nó."
"[english]announcer_ann_custom_generic_alert_29"	"The objective is nearing its destination."
"announcer_ann_custom_generic_alert_30"	"Mục tiêu đang ở gần điểm tập kết."
"[english]announcer_ann_custom_generic_alert_30"	"An objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_31"	"Mục tiêu đang ở gần điểm đến của nó."
"[english]announcer_ann_custom_generic_alert_31"	"An objective is nearing its destination."
"announcer_ann_custom_generic_alert_32"	"Mục tiêu của đối phương đang ở gần điểm tập kết."
"[english]announcer_ann_custom_generic_alert_32"	"The enemy's objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_33"	"Mục tiêu của đối phương đang ở gần điểm đến của nó."
"[english]announcer_ann_custom_generic_alert_33"	"The enemy's objective is nearing its destination."
"announcer_ann_custom_generic_alert_34"	"Mục tiêu của đối phương đang ở gần điểm tập kết."
"[english]announcer_ann_custom_generic_alert_34"	"An enemy's objective is nearing a waypoint."
"announcer_ann_custom_generic_alert_35"	"Mục tiêu của đối phương đang ở gần điểm đến của nó."
"[english]announcer_ann_custom_generic_alert_35"	"An enemy's objective is nearing its destination."
"announcer_ann_custom_generic_alert_36"	"Quái vật đã bị hạ gục."
"[english]announcer_ann_custom_generic_alert_36"	"The beast has been slain."
"announcer_ann_custom_generic_alert_37"	"Đội đối phương đã hạ gục quái vật."
"[english]announcer_ann_custom_generic_alert_37"	"The beast has been slain by the enemy."
"announcer_ann_custom_generic_alert_38"	"Một kẻ địch đã hạ gục quái vật."
"[english]announcer_ann_custom_generic_alert_38"	"The beast has been slain by an enemy."
"announcer_ann_custom_generic_alert_39"	"Một quái vật đã bị hạ gục."
"[english]announcer_ann_custom_generic_alert_39"	"A beast has been slain."
"announcer_ann_custom_generic_alert_40"	"Đối phương đã hạ gục một quái vật."
"[english]announcer_ann_custom_generic_alert_40"	"A beast has been slain by the enemy."
"announcer_ann_custom_generic_alert_41"	"Một kẻ địch đã hạ gục một quái vật."
"[english]announcer_ann_custom_generic_alert_41"	"A beast has been slain by an enemy."
